,Business Description
34069,SALES AND INSTALLATION OF RUBBER
34070,SALES AND INSTALLATION OF WINDOW TREATMENTS
34071,SALES AND MARKETING
34072,SALES AND MARKETING COMPANY
34073,SALES AND MARKETING CONSULTING
34074,Sales and Marketing Consulting
34075,Sales and marketing consulting
34076,SALES AND MARKETING OF MERCHANT SERVICES
34077,SALES AND MISC. MONEY WIRING
34078,SALES AND PHOTOCOPY SERVICES
34079,SALES AND REPAIR
34080,SALES AND SERVICE
34081,Sales and Service
34082,SALES AND SERVICE CENTRIFUGE
34083,SALES AND SERVICE COMPUTER EQUIPMENT
34084,SALES AND SERVICE FOR HEALTHCARE AND EDUCATION
34085,SALES AND SERVICE OF COMMERICAL TRASH TRUCKS
34086,SALES AND SERVICE OF HEARING ASSISTANCE DEVICES
34087,SALES AND SERVICE OF HOTELS & RESTAURANTS
34088,SALES AND SERVICE OF SATELLITE
34089,SALES AND SERVICE OF TAX DEFERRED ANNUITIES
34090,SALES AND SERVICE OF THE AEBI TERRATRAC TRACTOR
34091,SALES AND SERVICE OF WATER FILTRATION EQUPMENT
34092,SALES AND SERVICES
34093,SALES ARTICLES AND COSMETICS
34094,SALES AT FOLSOM FLEA MARKET
34095,"SALES BOOK BAGS, ETC"
34096,SALES CABINET AND COUNTER TOPS
34097,SALES CARS
34098,SALES CELLULAR
34099,SALES CHILD I.D. PRODUCTS
34100,SALES CLEANING/JANITORIAL SUPP
34101,SALES CLOTHES + OTHER ITEMS
34102,"SALES CLOTHES,SHOES, HAT, JEW"
34103,SALES COMMISION
34104,SALES COMMUNICATION EQUIP
34105,SALES COMPANY
34106,SALES COMRCL PUMPS/PARTS
34107,SALES CONSTRUCTION MATERIALS
34108,SALES CONSULTANT
34109,SALES CONSULTING
34110,SALES CONTRACTOR
34111,SALES F S
34112,"SALES FABRIC, CLOTHES, BLANKET"
34113,SALES FIRM
34114,SALES FLEE MARKET
34115,SALES FOOD EQUIPMENT
34116,SALES FORCE OUTSOURCING SERVIC
34117,SALES GIFTS
34118,SALES GOODS
34119,SALES GROUP (WILLS/TRUST ETC.)
34120,SALES HEAVY EQUIPMENT
34121,"SALES ITEMS-MUSIC, CLOTHING"
34122,SALES JANITORIAL & VACUUM SUPP
34123,SALES KITCHEN/GRANITE SUPPLIES
34124,SALES LEAD GENERATION
34125,SALES MANAGEMENT /TELEMARKET
34126,SALES MARINE
34127,SALES MARKETING
34128,SALES MARKETING-ADVERTISING
34129,SALES MOTORCYCLE PARTS(NEW)
34130,SALES NEW/USED
34131,SALES NOVELTIES
34132,SALES OD ROSES AND CANDY
34133,SALES OF ADVERTISING DISPLAY
34134,SALES OF AFRICAN STATUES/ART
34135,SALES OF AGRICULTURAL PRODUCTS
34136,SALES OF AGRICULTURE COMMODITIES
34137,"SALES OF AIR FILTER,WATER ETC."
34138,SALES OF AIR FILTERS
34139,SALES OF AIRGUNS & ACCESSORIES
34140,SALES OF AQUARIUM PRODUCTS
34141,SALES OF ART WORKS AND ART EDUCATION
34142,SALES OF ARTISTIC T-SHIRTS
34143,SALES OF ARTWORK
34144,"SALES OF BALLAST,LIGHTS EXC. FOR GARDENING"
34145,SALES OF BINDING EQP. & SUPPLY
34146,SALES OF BLANKETS/ CURTAINS
34147,SALES OF BOATS/YACHTS/SHIPS AND OTHER WATER CRAFT
34148,SALES OF BODY OIL & LOTIONS
34149,SALES OF BUILDING MATERIALS
34150,SALES OF BUSINESS FORMS
34151,Sales of candles and candle accessories
34152,SALES OF CANDLES/HOME DECOR
34153,SALES OF CANDY ETC BY VENDING
34154,"SALES OF CARDS,OILS & BOOKS"
34155,SALES OF CD'S MUSIC VARIOUS AT FLEA MARKET
34156,SALES OF CELL PHONE & PAGERS
34157,SALES OF CELL PHONE ACCESSORIES  & REPAIR
34158,SALES OF CELL PHONES
34159,SALES OF CELL PHONES AND ACCESSORIES
34160,SALES OF CELLPHONES AND ACCESSORIES
34161,SALES OF CELLULAR PHONES & ACCESSORIES
34162,SALES OF CHRISTMAS DECORATIONS
34163,SALES OF CHRISTMAS TREES
34164,SALES OF CIGARETTE/TABACCO
34165,SALES OF CLOTHING
34166,"SALES OF CLOTHING AND ITEMS THAT LIGHT UP, GLOW IN THE DARK"
34167,"SALES OF COFFEE, ESPRESSO"
34168,SALES OF COINS AND GOLD
34169,SALES OF COLLECTABLES
34170,SALES OF COMMUN EQUIP
34171,SALES OF COMPUTER SOFTWARE
34172,SALES OF COMPUTER SYSTEMS
34173,SALES OF CONSTRUCTION SUPPLIES
34174,SALES OF COPIER MACHINES
34175,SALES OF CRAFTS AT VARYING EVENTS
34176,SALES OF CUTCO PRODUCTS
34177,"SALES OF DATA, AGENCY, AND CONSULTATION"
34178,SALES OF DIESEL/AUTO PARTS SALES
34179,"SALES OF DONUTS, COFFEE, SANDWHICHES AND DRINKS"
34180,SALES OF DVD ON INTERNET
34181,SALES OF E-BAY ITEMS
34182,SALES OF EDUCATION TECHNOLOGY
34183,SALES OF ELECTRIC PERSONAL VAPORIZERS & ACCESSORIES
34184,SALES OF ELECTRIC/GAS SCOOTERS
34185,SALES OF ELECTRONIC BINGO EQP
34186,"SALES OF ELECTRONICS, HEALTH PRODUCTS ETC."
34187,SALES OF EMBROIDERY MACHINES
34188,SALES OF ENERGY SAVING PRODUCTS
34189,SALES OF ENTERTAINMENT GOODS
34190,SALES OF FASHION ACCESSORIES
34191,SALES OF FASTNERS/INDSTY SPLYS
34192,SALES OF FENCE PRODUCTS
34193,SALES OF FIRE/SAFTY PRODUCTS
34194,SALES OF FISHING GOODS
34195,SALES OF FLEXIBLE PACKAGING
34196,SALES OF FLOORCOVERING AND WINDOW COVERING PRODUCTS
34197,SALES OF FOOT JEWELRY AT SPECIAL EVENTS ONLY
34198,SALES OF FRESH PRODUCE
34199,SALES OF FURNITURE
34200,SALES OF GARDEN EQUIPMENT
34201,SALES OF GOLF EQUIPMENT
34202,SALES OF HAND-CRAFTED CANDLES
34203,SALES OF HANDBAGS & ACCESORIES
34204,SALES OF HANDMADE JEWELRY
34205,SALES OF HERBAL & NUTRITIONAL SUPPLEMENTS
34206,SALES OF HERBAL MEDICINES
34207,SALES OF HOUSEHOLD GOODS
34208,SALES OF ICE CREAM PRODUCTS
34209,SALES OF IMPLANTABLE PACEMAKERS
34210,SALES OF IMPLANTS
34211,SALES OF IMPORTED ITEMS
34212,SALES OF INSTITUTIONAL EQUIP.
34213,SALES OF JEWELRY & CLOTHING
34214,SALES OF JEWELRY AND BOOKS
34215,SALES OF JEWELRY AND GIFTS
34216,"SALES OF JEWELRY,CLOTHS, SHOES"
34217,SALES OF JUICES AND SMOOTHIES
34218,SALES OF KIDS CLOTHES ON-LINE
34219,Sales of LED lighting fixtures
34220,SALES OF LOCAL PRODUCE AT FARMERS MKT & EVENTS
34221,SALES OF MEDICAL DEVICES
34222,Sales of Milk Tea and Food
34223,SALES OF MISC ITEMS ON WEBSITE
34224,SALES OF MISC. ITEMS
34225,SALES OF MISCELLANEOUS
34226,SALES OF MOTORCYCLE ACCESS.
34227,sales of music and clothing
34228,SALES OF MUSIC CD
34229,SALES OF MUSICAL INSTRUMENTS
34230,SALES OF NATURAL STONE
34231,SALES OF NEW AND USED TIRES
34232,SALES OF NEW BICICLES
34233,SALES OF NEW SHOWS (FLEAMARKT)
34234,SALES OF NEW WHEELS & TIRES
34235,SALES OF NEW/USED ITEMS
34236,SALES OF NEW/USED TIRES & AUTO REPAIRS
34237,SALES OF OFFICE FURNITURE
34238,SALES OF OFFICE PRODUCTS
34239,SALES OF OIL PAINTINGS/FRAMES
34240,SALES OF ORIENTAL RUGS
34241,SALES OF ORIGINAL ARTWORK AND PRINT REPRODUCTIONS
34242,SALES OF OWN ART
34243,SALES OF PAINT AND RELATED PRODUCT
34244,SALES OF PILLOWS & BEDDINGS
34245,SALES OF POWER BALANCE
34246,SALES OF PRERECORDED VIDEOS
34247,"SALES OF PRINTING, PAPER AND FACILITY SUPPLIES"
34248,SALES OF PRODUCE
34249,SALES OF PROMOTIONAL PRODUCTS & LOGO APPAREL
34250,SALES OF PROTECTION PRODUCTS
34251,SALES OF PUMPS
34252,SALES OF PURSES & ACCESSORIES
34253,SALES OF QUINCEANERA & WEDDING DRESSES ETC
34254,SALES OF RAW FRUIT
34255,SALES OF REAL PROPERTIES
34256,SALES OF REFACING SUPPLIES
34257,SALES OF RETAIL MERCHANDISE
34258,"SALES OF SALTS, LOTIONS, CANDLES AND DESIGNER FRAGRANCES"
34259,SALES OF SAVINGS CARDS
34260,SALES OF SCIENCE SUPPLIES
34261,SALES OF SCIENTIFIC INSTRUMENTS
34262,SALES OF SCOTTISH IMPORTS
34263,SALES OF SECURITY ALARMS
34264,SALES OF SECURITY/PERSON PROTC
34265,SALES OF SKATEBOARDS ETC.
34266,SALES OF SMALL ELECTRONICS GADGETS AND ACCESSORIES ONLINE
34267,SALES OF SNOWBOARDS AND APPAREL
34268,"SALES OF SOCKS, UNDERWEAR, SM"
34269,SALES OF SOFTWARE & ASSOCIATED SERVICES
34270,SALES OF SOFTWARE LICENSE
34271,sales of sports lighting equipment
34272,SALES OF STEEL BUILDINGS
34273,SALES OF TEST & MEASUREMENT EQUIPMENT
34274,SALES OF TIRES + AUTO SRVC
34275,SALES OF TOOLS
34276,SALES OF TRAFFIC CONTROL EQUIPMENT
34277,SALES OF USED CLOTHES
34278,SALES OF USED WOMAN'S CLOTHING ONLINE
34279,SALES OF WATERBEADS PRODUCTS
34280,SALES OF WINDOW COVERINGS
34281,SALES OF WOMEN UNDERGARMENTS
34282,SALES OF WOMENS ACCESSORIES
34283,SALES OF WOMENS' UNDERWEAR
34284,SALES OF WOOD PRODUCTS
34285,SALES OF WOVEN SCARVES
34286,SALES OF YELLOW PAGES
34287,SALES OF YOGURT/CANDY
34288,SALES OFFICE
34289,SALES OFFICE FOR BUSINESS FORM
34290,SALES OFFICE FOR SOLAR TRACKING SYSTEM
34291,SALES OFFICE/ADMINISTRATIVE OFFICE
34292,SALES OFFICE/REPRESENTATIVE
34293,SALES ON EBAY/ONLINE
34294,SALES ON OFFICE FURNITURE
34295,SALES ONLINE
34296,SALES PLAYGROUND EQUIPMENT
34297,SALES POTS/PANS
34298,"SALES PREOWNED TRUCKS, TRAILERS & EQUIPMENT"
34299,SALES PRINTERS
34300,SALES RASPADOS MEXICAN
34301,SALES RECRUITMENT & PLACEMENT
34302,SALES RENTAL OF FAX & COPY MACHINES
34303,SALES REP
34304,SALES REP - HOME FURNISHINGS PRODUCTS
34305,SALES REP (BABY PRODUCTS)
34306,SALES REP (CLOTHING)
34307,SALES REP AGENCY
34308,SALES REP ORGANIZATION
34309,SALES REP-SATELLITE OFFICE
34310,SALES REPRESENTATIVE (INDEP)
34311,SALES REPRESENTATIVE/MOBILE
34312,SALES REPRESENTATIVES FOR HVAC EQUIP
34313,SALES RETAIL-WHOLESALE
34314,SALES SALONS & GROOMERS
34315,SALES SCREENS & SHADES
34316,SALES SECURITY CAMERA EQUIPMENT
34317,SALES TELEMARKETING
34318,SALES TIMEPIECES
34319,"SALES TIRES, SHOCKS, BRAKES, AND WHEELS"
34320,SALES TOOLS
34321,SALES TRAINING & INSTALLATION
34322,SALES UNIFORMS
34323,SALES USED APPLIANCES
34324,SALES-DISTRIBUTION NATIVE AMERICAN CRAFTS
34325,SALES-FLEA MARKET
34326,SALES-HOME PARTIES-INTERNET
34327,SALES-LUGGAGE
34328,SALES-MACHINES
34329,SALES-MAIL ORDER
34330,SALES-PRINTING  & SUPPLIES
34331,SALES-VACUUM
34332,SALES-WAREHOUSE/ INDUST EQUIPT
34333,"SALES, ACCESSORIES, SHOW, HATS"
34334,"SALES, BOOTS & CLOTHING"
34335,"SALES, BUS. MNGMNT & APPRAISAL"
34336,"SALES, CONSULTING RECRUITMENT"
34337,"SALES, INSTALLATION, SERVICE/REPAIR, MONITR BURGLR/FIRE ALRM"
34338,"SALES, INSTALLATIONS, AND SERVICE OF ELECTRONIC SECURITY"
34339,"SALES, LEASING AND MANAGEMENT"
34340,"SALES, MARKETING"
34341,"SALES, PICTURE FRAMES"
34342,"SALES, RENTAL OF MED EQUIPMENT"
34343,"SALES, SERVICE & RENTAL OF CONSTRUCTION EQUIPMENT"
34344,"SALES, SERVICE & REPAIR"
34345,"SALES, SERVICE OFFICE EQUIP"
34346,"SALES, SERVICE, INSTALLATION OF PLANTATION SHUTTERS"
34347,"SALES, SERVICE, UPGRADES"
34348,"SALES, VENDING, & CATERING"
34349,"SALES, WIRELESS COMMUN EQ/SRVS"
34350,"SALES,ATV'S,SNOWMOBILES,TRLS"
34351,"SALES,RENTAL OF MEDICAL EQUIP."
34352,"SALES,RENTAL/HOME MEDICAL EQUP"
34353,"SALES,SERVICE & RENTALS"
34354,"SALES,SERVICE AND INSTALLATION"
34355,SALES/ CROWN CASING/BASE BOARD
34356,SALES/ DIST/ RETAIL - APPAREL
34357,SALES/ RENTALS/ INSTALLATIONS
34358,SALES/ SERVICE FOOD COUPON
34359,SALES/ADVERTISING
34360,SALES/APPRAISALS/CONSULTING
34361,SALES/CIGARETTES TOBACCO PRODU
34362,SALES/CONSULTING SERVICES
34363,SALES/CRAFTS
34364,SALES/CUSTOMER SERVICE OFFICE
34365,SALES/DISTRIBUTION OF NOVELTIE
34366,SALES/HAIR/BEAUTY SUPPLY
34367,SALES/INST AUTOMATIC DOORS ETC
34368,SALES/INSTALL BLINDS/DRAPERIES
34369,SALES/INSTALL HOME SECURITY
34370,SALES/INSTALL WINDOW COVERINGS
34371,SALES/INSTALLATION AUTO GLASS
34372,SALES/INSTALLATION OF RESIDENTIAL SECURITY SYSTEMS
34373,SALES/INSTALLATION/SERVICE OF SOLAR ENERGY SYSTEMS
34374,SALES/JANITORIAL
34375,SALES/LEASING OF COPIERS & FAX
34376,SALES/LOANS & RAPID RESCORING
34377,SALES/MAIL ORDER PROMO PRODS
34378,SALES/MARKETING
34379,SALES/MARKETING CONSULTANT
34380,SALES/MARKETING OF MOBILE DATA
34381,SALES/MARKETING/DISTRIBUTION
34382,SALES/MOTIVATIONAL SPEAKING
34383,SALES/PERSONAL SAFETY PRODUCTS
34384,SALES/REPAIR
34385,SALES/REPAIR OF TRUCKS & PARTS
34386,SALES/RETAIL CLOTHES
34387,SALES/SERV OF 2 WAY RADIO COMM
34388,SALES/SERV. IND. TIME CLOCKS
34389,SALES/SERVICE
34390,SALES/SERVICE AIR COMPRESSORS
34391,SALES/SERVICE APPLIANCES
34392,SALES/SERVICE CONSTR. EQUIPM.
34393,SALES/SERVICE ELECT INSTR
34394,SALES/SERVICE ENV.&UNDRGRND EQ
34395,SALES/SERVICE GARAGE DOORS
34396,SALES/SERVICE HEARING AIDS
34397,SALES/SERVICE OF COMM. EQUIP.
34398,SALES/SERVICE OF HEARING AIDS
34399,SALES/SERVICE OF WATER FILTERATION EQUIPMENT
34400,SALES/SERVICE STEAM CLEANERS
34401,SALES/SERVICE/INSTALLATION
34402,SALES/SERVICE/INSTALLATION OF AUTOMOBILE EQUIPMENT
34403,SALES/SERVICE/REPAIR/REMOVAL & INSTALL
34404,SALES/SRV OF VOICE & DATA COMM
34405,SALES/SRV RES. HEATING/AIR
34406,SALES/SRVC OF DOMESTIC APPLIAN
34407,SALES/SVC ENVIRONMENTAL EQUIPT
34408,SALES/SVC OF BUSINESS MACHINES
34409,SALES/SVC OF WATER PURIF/SYS
34410,"SALES/TRAVEL MBRSHIP,SKIN CARE"
34411,SALES/WAREHOUSE
34412,SALES/WATER PURIFICATION
34413,SALES/WOMENS ORGANIC CLOTHING
34414,SALES\RENTAL OF DURABLE GOODS
34415,SALES&RENTL INDUST WELDING EQU
34416,"SALES+INSTALLATION-PROC.,PACK"
34417,SALESE RPR SER
34418,SALESMAN
34419,SALL RESTAURANT/CAFE
34420,SALON
34421,Salon
34422,salon
34423,SALON - BOUTIQUE
34424,SALON - RENTAL OF STATION
34425,SALON - STATION
34426,SALON - STYLIST
34427,SALON (HAIR & NAILS)
34428,SALON (HAIR)
34429,SALON (RENTAL)
34430,SALON / SKIN CARE
34431,SALON / SPA SUPPLIES
34432,SALON & BARBER
34433,SALON & BARBERSHOP
34434,SALON & BOUTIQIE
34435,SALON & DAY SPA
34436,SALON & SPA
34437,SALON AND PRODUCT SALES
34438,SALON AND SPA
34439,SALON BUSINESS
34440,SALON BUTIQUE BEAUTY
34441,Salon Chair Rental
34442,SALON DE  BELLEZA
34443,salon for children
34444,SALON HAIR CARE
34445,"SALON HAIRCUT,NAILS,FACIALS"
34446,Salon Owner
34447,SALON SERVICES
34448,SALON SERVICES & RETAIL
34449,SALON SPA
34450,SALON STATION
34451,SALON STATION RENT
34452,SALON STYLIST
34453,SALON SUITES
34454,SALON- COSMOTELOGY & MASSAGE
34455,SALON- HAIR/FACIALS/TANNING
34456,SALON-FULL SERVICE
34457,SALON-INDEPENDENT STYLIST
34458,"SALON, COSMOTOLOGIST"
34459,"SALON, FACIAL, WAXING EYEBROW THREADING"
34460,SALON/BARBER
34461,SALON/SKIN CARE
34462,SALON/SPA
34463,SALSA BUSINESS
34464,SALSA DANCE INSTRUCTOR
34465,SALSA MFG.
34466,SALT CITY CANDLE CO DISTRIBUTO
34467,SALT SPA
34468,SALVADOREAN/MEXICAN FAST FOOD
34469,SALVAGE CARS CLEANING & SALE
34470,SALVAGE PICK UP SERVICE
34471,SAMBA DANCING & TEACHING
34472,SAME DAY DELIVERIES
34473,SAME DAY DELIVERY
34474,SAME DAY DELIVERY SERVICE
34475,SAME DAY TRANSPORTATION
34476,SAMPLES DISTRIBUTOR TRAINING
34477,SAN FRAN. BASED LAW FIRM
34478,SAND & GRAVEL & TRUCKING
34479,SANDBLASTING
34480,SANDBLASTING EQUIPMENT & MEDIA DISTRIBUTOR
34481,SANDBLASTING SER
34482,SANDBLASTING SERVICE
34483,"SANDBLASTING, CONTRACTING &"
34484,"SANDWHICH, SALAD"
34485,SANDWICH
34486,SANDWICH  SHOP
34487,SANDWICH - RESTAURANT
34488,SANDWICH & BEER
34489,SANDWICH & SALADS
34490,SANDWICH AND SALAD SALES
34491,SANDWICH DELI
34492,"SANDWICH FRANCHISE, TOGOS"
34493,SANDWICH RESTAURANT
34494,SANDWICH RETAIL
34495,SANDWICH SHOP
34496,Sandwich Shop
34497,SANDWICH SHOP FAST FOOD
34498,SANDWICH SHOP/DELI
34499,SANDWICH STORE
34500,"SANDWICH, FRY & SOFT DRINKS"
34501,"SANDWICH, SALAD AND SOUP"
34502,SANDWICH/ DELI
34503,SANDWICH/CHIPS/SODA SALE
34504,SANDWICH/COFFEE SHOP
34505,SANDWICH/ICE CREAM
34506,SANDWICH/ICE CREAM SHOP
34507,SANDWICH/ICE CREAM STORE
34508,SANDWICH/RESTAURANT
34509,SANDWICHES
34510,SANDWICHES  & ICE CREAM RETAILS
34511,SANDWICHES & COFFEE
34512,SANDWICHES & ICE CREAM
34513,SANDWICHES & SALAD
34514,SANDWICHES & SALADS
34515,SANDWICHES AND DELI
34516,SANDWICHES AND SALADS
34517,"SANDWICHES, SODA & COFFEE"
34518,SANDWICHES/ ICE CREAM
34519,SANDWICHES/DELI
34520,SANDWICHES/ICE CREAM
34521,SANITATION
34522,"SANTA, BUNNY & SPECIAL EVENT PHOTOS"
34523,SATELITE HOME OFFICE/PAPERWORK COMPUTER PROCESSING
34524,SATELITE INSTALLATION
34525,SATELITE INSTALLATION & SALES
34526,SATELITE INSTALLS/TV & COMP
34527,SATELITE SALE/SVC/INSTALLATION
34528,SATELITE SYSTEMS SALES
34529,SATELITE/WISP WI FI INSTALL
34530,SATELITTE INSTALATION
34531,SATELITTE INSTALLATIONS
34532,SATELLITE & ELECTRONIC SALES
34533,SATELLITE DISH
34534,SATELLITE DISH INSTALLATIONS
34535,SATELLITE DISH INSTALLER
34536,SATELLITE DISHES (DSS)
34537,SATELLITE EQUIPMENT & SUPPLIES
34538,SATELLITE FOR GENERAL CONTRACT
34539,SATELLITE INSTALLATION
34540,SATELLITE INSTALLATION CONTRACTOR
34541,SATELLITE INSTALLATIONS
34542,SATELLITE INSTALLATIONS SERVICES
34543,SATELLITE INSTALLATON
34544,SATELLITE INSTALLER
34545,SATELLITE OFFICE-ADMIN
34546,SATELLITE RADIO SERVICES
34547,SATELLITE RETAILER
34548,SATELLITE SALES
34549,SATELLITE SALES & INSTALL
34550,SATELLITE SALES & INSTALLATION
34551,SATELLITE SALES AND SERVICE
34552,SATELLITE SALES OFFICE
34553,SATELLITE SALES/INSTALLATION
34554,SATELLITE SERVICE & INSTALLATN
34555,SATELLITE SERVICE INSTALLER
34556,SATELLITE SERVICE/INSTALL
34557,SATELLITE SERVICES
34558,SATELLITE SLS
34559,SATELLITE SLS/INSTALL/HM THEAT
34560,SATELLITE SYSTEMS-SLS/INSTALL
34561,SATELLITE T.V. INSTALLATION
34562,SATELLITE T.V. INSTALLATIONS
34563,SATELLITE T.V./HOME THEATER
34564,SATELLITE TECHNICIAN
34565,SATELLITE TELEVISION BUSINESS
34566,SATELLITE TELEVISION INSTALLATION
34567,SATELLITE TELEVISION SALES
34568,SATELLITE TELEVISION SALES AND INSTALLATION
34569,SATELLITE TV
34570,SATELLITE TV AND INTERNET SERVICE INDEPENDENT CONTRACTOR
34571,SATELLITE TV INSTALL CONT.
34572,SATELLITE TV INSTALLATION
34573,SATELLITE TV PROGRAMMING
34574,SATELLITE TV SALES
34575,SATELLITE TV SALES & INSTALLAT
34576,SATELLITE/HOME THEATER INSTALL
34577,SATIRE NEWSPAPER
34578,SATTELITE DISH INSTALL
34579,SATTELITE INSTALL
34580,SATTELITE INSTALLATION
34581,SATTELITE RETAIL BUSINESS
34582,SAUSAGE KITCHEN
34583,SAUSAGE MARKET
34584,SAXE PC LAW FIRM
34585,SCAFFOLD
34586,SCAFFOLDING
34587,Scale model accessory sales
34588,SCANNING
34589,SCANNING AND ARCHIVING PHOTOS AND DOCUMENTS
34590,"SCANNING OF CONCRETE,  LOCATING OF UTILITIES"
34591,SCENTED OIL/CANDLE HOLDERS
34592,SCHEDULE AUDIO/VISUAL STAFFING FOR BOTH PROF & AMATEUR EVENT
34593,SCHEDULE PLANNING
34594,SCHEDULE TRAINING CLASSES FOR SAC PD
34595,SCHEDULING & TIME FRAME MAINTANANCE
34596,Scheduling catering
34597,SCHOLARSHIP FUND
34598,SCHOLARSHIP PAGEANT PRODUCTION
34599,SCHOLARSHIPS
34600,SCHOOL
34601,SCHOOL AND TRAINING
34602,SCHOOL APPAREL & SUPPLIES
34603,SCHOOL ASSEMBLIES
34604,SCHOOL ASSEMBLY PROGRAMS
34605,SCHOOL BUS CONTRACTORS
34606,SCHOOL BUS TRANSPORTAION
34607,SCHOOL BUSINESS CONSULTING
34608,SCHOOL CAFETERIA/SNACK BAR
34609,SCHOOL CAFTERIA
34610,SCHOOL ENRICHMENT INSTRUCTOR
34611,SCHOOL FOR MASSAGE THERAPIES
34612,SCHOOL LUNCH PROGRAM
34613,SCHOOL OF ARCHITECTURE / HIGHER LEARNING
34614,SCHOOL OF FLORAL DESIGN
34615,SCHOOL OF IRISH DANCING
34616,SCHOOL OF LAW
34617,SCHOOL OF MUSIC
34618,SCHOOL PHOTOGRAPHY
34619,SCHOOL PRIVATE
34620,School Safety Consultant
34621,SCHOOL SUP
34622,SCIENCE BOOKS PUBLISHER-INTERN
34623,SCIENCE EDUCATION FOR CHDRNS
34624,"SCIENCE ILLUSTRATION,ART CLASS"
34625,SCIENTIFIC & TECHNICAL EDITING
34626,SCIENTIFIC & TECNICAL SERVICE
34627,SCIENTIFIC/ENVIRONMENTAL CONST
34628,SCIENTIFIC/PATENT CONSULTING
34629,SCISSOR SALES
34630,SCOOTER DEALER MOTOR DRIVEN
34631,SCOOTER SALES
34632,"SCOOTER SHOP, SELLING PARTS, ACCESSORIES & MINOR REPAIRS"
34633,SCOPING SERVICE
34634,SCOTTISH KILT MAKER & RENTAL
34635,"SCOUTING AGENCY, WORKSHOP ETC"
34636,SCRAP EXPORT
34637,SCRAP HAULING
34638,SCRAP METAL PROC
34639,SCRAP METAL RECYCLING
34640,SCRAP METALS
34641,SCRAP TIRE PICKUP & DISPOSAL
34642,SCRAP UP AND CLEAN UP
34643,SCRAPBOOK
34644,SCRAPBOOK & CRAFT SUPPLIES
34645,SCRAPBOOK ENGRAVING
34646,SCRAPBOOK KIT & SUPPLY SALES
34647,SCRAPBOOK PAGES & SUPPLY
34648,SCRAPBOOK SERVICES
34649,SCRAPBOOK SUPPLIES
34650,SCRAPBOOKING
34651,SCRAPBOOKING & CUSTOM FRAMING
34652,SCRAPBOOKING PRODUCTS/CLASSES
34653,SCRAPBOOKING SUPPLIES
34654,SCRAPBOOKING/CANDLES
34655,SCRATCH & ROCK CHIP REPAIR
34656,SCRATCH BAKERY SPECIALIZING IN DESSERT BARS
34657,SCREEN PRINT
34658,SCREEN PRINT COMPANY
34659,SCREEN PRINTED CUSTOM APPAREL AND GRAPHICS
34660,SCREEN PRINTED T-SHIRT SALES
34661,SCREEN PRINTING
34662,SCREEN PRINTING & EMBRODERING
34663,SCREEN PRINTING AND DESIGN
34664,SCREEN PRINTING AND EMBROIDERY
34665,SCREEN PRINTING COMPANY
34666,SCREEN PRINTING ONLINE SALES
34667,SCREEN PRINTING SUPPLIES
34668,"SCREEN PRINTING, EMBROIDERY"
34669,"SCREEN PRINTING, EMBROIDERY, FLEET GRAPHICS"
34670,SCREEN PRINTING/ ART/RETAIL SALES
34671,SCREEN PRINTING/EMBROIDERY
34672,SCREEN PRINTING/GRAPHIC DESIGN
34673,SCREEN REPAIR
34674,SCREEN SHOP AND SALES OF GLASS
34675,SCREENING TEST
34676,"SCREENING VISION, AUDIO, BMI, IMMUNIZATIONS, ETC"
34677,SCREENPRINT BROKER
34678,"SCREENPRINT, GRAPHIC, FINE ART"
34679,SCREENPRINTER
34680,SCREENPRINTER OF ORIGINAL CIVIC PRIDE T-SHIRTS
34681,SCREENPRINTING
34682,Screenprinting and Embroidery
34683,SCREENPRINTING-CLOTHING
34684,"SCREENPRINTING,DESIGN & PHOTO"
34685,SCREENPRINTING/EMBROIDERY
34686,SCREENPRINTING/SALES
34687,SCREENWRITER-MOTION PICTURES
34688,SCRUBBING  AND SEALING CONCRETE
34689,SCUBA DIVING INSTRUCTION/DIVE TRAVEL AND EQUIPTMENT SALES
34690,SCUBA DIVING LESSONS
34691,SCUBA DIVING SERVICE
34692,SCULPTERS STUDIO
34693,SCULPTOR
34694,SCULPTURE
34695,SCULPTURE & DESIGN
34696,SCULPTURE ARTIST
34697,SCULPTURE DESIGN STUDIO
34698,SCULPTURE PRODUCTION
34699,SCULPTURE STUDIO
34700,SCULPTURE/ARTWORK
34701,SCULPTURES
34702,SCULPTURING AND LANDSCAPING
34703,SCUPTURE AND COSTUMES
34704,SEAFOOD AND TACOS RESTAURANT
34705,SEAFOOD DELI
34706,SEAFOOD DISTRIBUTOR
34707,SEAFOOD EXPORTER/IMPORTER
34708,SEAFOOD GUMBO
34709,SEAFOOD RESTAURANT
34710,SEAFOOD RESTAURANT-MEXICAN
34711,SEAFOOD TO GO
34712,SEAFOOD WHOLESALE
34713,SEAFOOD/WHOLESALE
34714,SEAL & STRIPING PARKING LOTS
34715,SEAL COAT & ASPHALT STRIPPING
34716,SEAL COAT AND HANDYMAN LANDSCAPING
34717,SEAL COATING
34718,SEAL COATING & PAVING
34719,SEAL COATING DRIVEWAYS
34720,SEAL COUTING PAYVING
34721,SEAL DRIVEWAYS
34722,SEAL STONE & GROUT
34723,Sealants
34724,SEALANTS & WATERPROOFING WHOLESALE DISTRIBUTOR
34725,SEALCOATING/STRIPING/PAVING
34726,SEALCOATING/STRIPPING
34727,SEALING& CLEANING OF SOFT SURFACE TEXTILES
